row,exposure,target,prediction
125265,1,220.123,929.342
125359,1,1372.17,856.126
125434,1,210.569,1115.25
125528,1,210.052,853.298
125556,1,1423.44,1883.9
125907,1,1480.75,1156.43
125969,1,1086.86,1291.57
126302,1,469.868,894.12
126327,1,423.202,1090.67
126556,1,1682.54,860.319
126745,1,1714.33,1283.69
126749,1,1192.19,1397.05
126833,1,699.455,835.542
127164,1,220.349,1210.33
127261,1,1090.25,1079.78
127608,1,2525.37,1436.19
127633,1,1034.24,1211.92
127888,1,1078.42,823.137
128015,1,1241.61,880.466
128077,1,1165.58,1071.5
128170,1,990.305,823.113
128197,1,3181.68,1294.19
128448,1,1345.99,1260.04
128479,1,898.576,1263.59
128512,1,1078.42,1078.67
128778,1,55.2227,1335.7
128972,2,2813.66,1760.93
128995,1,1087.91,882.312
129086,1,1165.58,1160.03
129106,1,3234.83,855.667
129366,1,1192.19,1276.1
129455,1,1192.19,1158.93
130092,1,1093.41,1003.21
130103,1,1623.86,826.256
130594,1,1078.42,897.799
130601,1,722.54,1603.46
130620,1,382.936,1180.68
130623,1,1043.88,1258.28
130700,1,794.773,870.146
130792,1,1486.33,1035.49
131039,1,10322,1474.79
131099,1,412.833,1057.46
131454,1,777.153,1026.1
131589,1,907.625,1245.88
131657,1,1026.36,1100.66
131756,1,1238.61,952.665
131920,1,1165.58,1327.61
131929,1,290.439,1276.06
131951,1,622.08,1093.07
132386,1,672.719,1006.8
132611,1,1462.13,1125.67
132659,1,1092.62,924.47
132708,1,1540.11,886.244
132741,1,2281.44,1266.54
132780,1,1341.31,1261.71
132851,1,1472.64,895.002
133040,1,1192.19,1010.07
133162,1,340.499,916.031
133408,1,688.375,880.612
133559,1,220.891,1599.72
133733,1,1078.42,830.264
133785,1,1418.29,1093.07
133925,1,4272.71,1473.84
134380,1,906.108,1343.73
134398,1,569.224,916.962
134413,1,933.649,937.301
134546,1,1107.46,1328.34
134635,1,438.674,1040.73
134838,1,2920.6,1511.11
135449,1,210.052,1134.88
135975,1,1548.26,1211.92
136081,1,3668.64,1047.38
136262,1,1192.19,1230.2
136332,1,1034.24,1130.21
136368,1,1093.41,931.231
136577,1,1008.04,902.201
136670,1,620.971,1071.38
136834,1,395.938,907.794
137044,2,1409.6,1934.27
137063,1,1093.41,1103.34
137103,1,1057,1025.45
137394,1,1165.58,961.509
137425,2,7926.19,1837.05
137498,1,2973.74,1214.16
137616,1,2347.3,1444.18
137711,1,936.426,1095.11
138187,1,1192.19,1318.94
